ID_TRILHA;G_SAÚDE;G_ISOLAMENTO;G_TRILHA;N_ISOLAMENTO;N_TRILHA;M_225886;M_246180;M_268298;M_292402;M_318672;M_347302;M_378504;M_412509;M_449569;M_489959;M_533978;M_581951;M_634235;M_691215;M_753315;M_820994;M_894753;M_975139;M_1062747;M_1158226;M_1262283;M_1375688;M_1499282;M_1633980;M_1780779;M_1940767;M_2115128;M_2305154;M_2512253;M_2737957;M_2983939;M_3252021;M_3544187;M_3862602;M_4209624;M_4587823;F_225886;F_246180;F_268298;F_292402;F_318672;F_347302;F_378504;F_412509;F_449569;F_489959;F_533978;F_581951;F_634235;F_691215;F_753315;F_820994;F_894753;F_975139;F_1062747;F_1158226;F_1262283;F_1375688;F_1499282;F_1633980;F_1780779;F_1940767;F_2115128;F_2305154;F_2512253;F_2737957;F_2983939;F_3252021;F_3544187;F_3862602;F_4209624;F_4587823
I1_C0_T1;1,00;1,00;1,00;0,50;0,25;160660,00;147742,00;135860,00;124897,00;114802,00;105567,00;97018,00;89269,00;82007,00;75406,00;69314,00;63670,00;58544,00;53750,00;49407,00;45395,00;41713,00;38307,00;35186,00;32310,00;29668,00;27230,00;24990,00;22926,00;21026,00;19275,00;17660,00;16169,00;14784,00;13490,00;12300,00;11210,00;10206,00;9277,00;8413,00;7609,00;-86,32;-86,23;-86,14;-86,03;-85,91;-85,77;-85,62;-85,46;-85,27;-85,08;-84,84;-84,56;-84,36;-84,02;-83,69;-83,31;-82,87;-82,44;-81,94;-81,41;-80,82;-80,19;-79,49;-78,71;-77,88;-76,96;-75,96;-74,88;-73,72;-72,41;-70,87;-69,16;-67,32;-65,28;-63,04;-60,51
I1_C0_T11;1,00;1,00;11,00;0,50;2,75;125706,00;115581,00;106306,00;97732,00;89862,00;82657,00;75998,00;69879,00;64245,00;59056,00;54299,00;49925,00;45897,00;42153,00;38752,00;35603,00;32721,00;30051,00;27603,00;25354,00;23280,00;21374,00;19611,00;17994,00;16501,00;15127,00;13857,00;12685,00;11599,00;10583,00;9649,00;8791,00;7998,00;7264,00;6581,00;5945,00;-86,11;-86,04;-85,92;-85,83;-85,71;-85,58;-85,40;-85,25;-85,08;-84,88;-84,65;-84,43;-84,19;-83,87;-83,53;-83,12;-82,76;-82,31;-81,82;-81,30;-80,71;-80,08;-79,39;-78,63;-77,80;-76,89;-75,91;-74,83;-73,66;-72,37;-70,85;-69,17;-67,36;-65,34;-63,11;-60,60
I1_C0_T12;1,00;1,00;12,00;0,50;3,00;123545,00;113604,00;104458,00;96073,00;88320,00;81209,00;74677,00;68634,00;63115,00;58012,00;53352,00;49058,00;45077,00;41388,00;38048,00;34965,00;32120,00;29514,00;27111,00;24897,00;22865,00;20987,00;19259,00;17668,00;16202,00;14851,00;13604,00;12454,00;11386,00;10390,00;9468,00;8628,00;7850,00;7130,00;6459,00;5835,00;-86,11;-86,07;-85,97;-85,87;-85,74;-85,62;-85,48;-85,31;-85,13;-84,89;-84,71;-84,47;-84,21;-83,89;-83,52;-83,17;-82,78;-82,34;-81,85;-81,32;-80,74;-80,11;-79,42;-78,66;-77,84;-76,93;-75,94;-74,87;-73,69;-72,40;-70,88;-69,21;-67,37;-65,37;-63,14;-60,67
I1_C0_T2;1,00;1,00;2,00;0,50;0,50;152581,00;140354,00;129049,00;118616,00;109095,00;100293,00;92171,00;84735,00;77858,00;71563,00;65797,00;60484,00;55563,00;51008,00;46851,00;43064,00;39568,00;36348,00;33378,00;30655,00;28141,00;25830,00;23702,00;21741,00;19936,00;18274,00;16740,00;15327,00;14011,00;12783,00;11653,00;10620,00;9666,00;8784,00;7964,00;7199,00;-86,40;-86,33;-86,28;-86,11;-86,00;-85,86;-85,72;-85,54;-85,34;-85,15;-84,92;-84,65;-84,44;-84,11;-83,76;-83,37;-82,98;-82,52;-82,02;-81,50;-80,91;-80,27;-79,56;-78,80;-77,96;-77,04;-76,05;-74,96;-73,79;-72,49;-70,95;-69,24;-67,40;-65,36;-63,12;-60,60
I1_C0_T3;1,00;1,00;3,00;0,50;0,75;146452,00;134718,00;123921,00;113932,00;104755,00;96268,00;88539,00;81396,00;74848,00;68777,00;63234,00;58097,00;53396,00;49071,00;45041,00;41416,00;38059,00;34956,00;32105,00;29485,00;27074,00;24850,00;22808,00;20923,00;19188,00;17587,00;16112,00;14751,00;13489,00;12308,00;11219,00;10226,00;9308,00;8458,00;7666,00;6933,00;-86,28;-86,18;-86,09;-85,98;-85,85;-85,72;-85,58;-85,39;-85,22;-85,02;-84,79;-84,56;-84,29;-83,99;-83,60;-83,25;-82,85;-82,39;-81,91;-81,37;-80,78;-80,14;-79,45;-78,68;-77,84;-76,93;-75,94;-74,86;-73,68;-72,38;-70,83;-69,15;-67,30;-65,26;-63,01;-60,49
I1_C0_T4;1,00;1,00;4,00;0,50;1,00;140257,00;128971,00;118560,00;109035,00;100236,00;92149,00;84722,00;77889,00;71592,00;65785,00;60493,00;55616,00;51088,00;46923,00;43163,00;39644,00;36413,00;33437,00;30720,00;28210,00;25905,00;23777,00;21825,00;20016,00;18357,00;16827,00;15415,00;14114,00;12903,00;11775,00;10734,00;9782,00;8905,00;8089,00;7333,00;6627,00;-86,34;-86,22;-86,14;-86,02;-85,88;-85,76;-85,60;-85,42;-85,24;-85,07;-84,81;-84,55;-84,31;-83,98;-83,64;-83,27;-82,86;-82,39;-81,90;-81,37;-80,79;-80,14;-79,44;-78,67;-77,82;-76,91;-75,91;-74,83;-73,65;-72,35;-70,81;-69,12;-67,28;-65,24;-63,00;-60,49
I1_C0_T5;1,00;1,00;5,00;0,50;1,25;137046,00;125956,00;115816,00;106466,00;97900,00;90031,00;82759,00;76097,00;69969,00;64296,00;59114,00;54375,00;49944,00;45879,00;42136,00;38744,00;35598,00;32697,00;30036,00;27583,00;25326,00;23252,00;21333,00;19573,00;17950,00;16454,00;15073,00;13799,00;12617,00;11513,00;10496,00;9563,00;8705,00;7906,00;7166,00;6475,00;-86,20;-86,12;-86,04;-85,92;-85,82;-85,68;-85,55;-85,36;-85,15;-84,97;-84,74;-84,50;-84,24;-83,96;-83,55;-83,20;-82,81;-82,36;-81,87;-81,34;-80,76;-80,12;-79,44;-78,66;-77,82;-76,92;-75,92;-74,84;-73,68;-72,37;-70,85;-69,14;-67,31;-65,29;-63,06;-60,54
I1_C0_T6;1,00;1,00;6,00;0,50;1,50;133991,00;123211,00;113305,00;104179,00;95793,00;88063,00;80976,00;74460,00;68445,00;62911,00;57831,00;53157,00;48845,00;44847,00;41220,00;37888,00;34825,00;31988,00;29377,00;26977,00;24776,00;22739,00;20864,00;19143,00;17554,00;16091,00;14741,00;13495,00;12337,00;11257,00;10260,00;9349,00;8508,00;7728,00;7003,00;6329,00;-86,23;-86,13;-86,04;-85,95;-85,81;-85,69;-85,55;-85,37;-85,18;-84,97;-84,76;-84,52;-84,27;-83,99;-83,64;-83,24;-82,82;-82,38;-81,89;-81,36;-80,78;-80,15;-79,46;-78,69;-77,85;-76,95;-75,96;-74,88;-73,71;-72,41;-70,88;-69,20;-67,36;-65,33;-63,09;-60,58
I1_C0_T7;1,00;1,00;7,00;0,50;1,75;130365,00;119873,00;110238,00;101372,00;93220,00;85701,00;78781,00;72416,00;66619,00;61249,00;56296,00;51743,00;47515,00;43673,00;40110,00;36873,00;33879,00;31133,00;28596,00;26263,00;24117,00;22135,00;20310,00;18633,00;17086,00;15662,00;14347,00;13134,00;12009,00;10957,00;9987,00;9099,00;8282,00;7521,00;6814,00;6157,00;-86,21;-86,12;-86,03;-85,93;-85,80;-85,67;-85,51;-85,34;-85,16;-84,95;-84,74;-84,51;-84,21;-83,93;-83,57;-83,21;-82,80;-82,38;-81,89;-81,36;-80,79;-80,15;-79,46;-78,69;-77,86;-76,96;-75,96;-74,89;-73,72;-72,42;-70,90;-69,23;-67,38;-65,37;-63,11;-60,65
I1_C0_T8;1,00;1,00;8,00;0,50;2,00;128212,00;117793,00;108378,00;99625,00;91623,00;84232,00;77448,00;71176,00;65476,00;60159,00;55331,00;50877,00;46760,00;42912,00;39453,00;36257,00;33310,00;30600,00;28111,00;25815,00;23705,00;21757,00;19970,00;18317,00;16798,00;15396,00;14105,00;12913,00;11805,00;10771,00;9817,00;8946,00;8143,00;7394,00;6698,00;6053,00;-86,18;-86,08;-86,00;-85,89;-85,77;-85,64;-85,49;-85,35;-85,15;-84,94;-84,73;-84,49;-84,23;-83,92;-83,56;-83,20;-82,80;-82,37;-81,87;-81,35;-80,77;-80,13;-79,44;-78,68;-77,85;-76,94;-75,95;-74,87;-73,71;-72,41;-70,88;-69,21;-67,38;-65,37;-63,13;-60,62
