Id_Trilha;SaudeTrilha_Qualitativo;isolamento_QualItatIvo;NíveCurtoCirtuito_Qualitativo;EspessuraTrlha_Qualitativo;Isolamento_Quantitativo_mm;EspessuraTrlha__Quantitativo_mm;R_ATrilhaVsAIsolamento;absz_F_1000;absz_F_1090;absz_F_1188;absz_F_1294;absz_F_1411;absz_F_1538;absz_F_1676;absz_F_1826;absz_F_1990;absz_F_2169;absz_F_2364;absz_F_2576;absz_F_2808;absz_F_3060;absz_F_3335;absz_F_3635;absz_F_3961;absz_F_4317;absz_F_4705;absz_F_5127;absz_F_5588;absz_F_6090;absz_F_6637;absz_F_7234;absz_F_7884;absz_F_8592;absz_F_9364;absz_F_10205;absz_F_11122;absz_F_12121;absz_F_13210;absz_F_14397;absz_F_15690;absz_F_17100;absz_F_18636;absz_F_20310;absz_F_22135;absz_F_24124;absz_F_26291;absz_F_28653;absz_F_31227;absz_F_34033;absz_F_37090;absz_F_40423;absz_F_44054;absz_F_48012;absz_F_52325;absz_F_57026;absz_F_62150;absz_F_67733;absz_F_73819;absz_F_80451;absz_F_87679;absz_F_95556;absz_F_104141;absz_F_113497;absz_F_123693;absz_F_134806;absz_F_146917;absz_F_160117;absz_F_174502;absz_F_190179;absz_F_207265;absz_F_225886;absz_F_246180;absz_F_268298;absz_F_292402;absz_F_318672;absz_F_347302;absz_F_378504;absz_F_412509;absz_F_449569;absz_F_489959;absz_F_533978;absz_F_581951;absz_F_634235;absz_F_691215;absz_F_753315;absz_F_820994;absz_F_894753;absz_F_975139;absz_F_1062747;absz_F_1158226;absz_F_1262283;absz_F_1375688;absz_F_1499282;absz_F_1633980;absz_F_1780779;absz_F_1940767;absz_F_2115128;absz_F_2305154;absz_F_2512253;absz_F_2737957;absz_F_2983939;absz_F_3252021;absz_F_3544187;absz_F_3862602;absz_F_4209624;absz_F_4587823;absz_F_5000000;phasez_F_1000;phasez_F_1090;phasez_F_1188;phasez_F_1294;phasez_F_1411;phasez_F_1538;phasez_F_1676;phasez_F_1826;phasez_F_1990;phasez_F_2169;phasez_F_2364;phasez_F_2576;phasez_F_2808;phasez_F_3060;phasez_F_3335;phasez_F_3635;phasez_F_3961;phasez_F_4317;phasez_F_4705;phasez_F_5127;phasez_F_5588;phasez_F_6090;phasez_F_6637;phasez_F_7234;phasez_F_7884;phasez_F_8592;phasez_F_9364;phasez_F_10205;phasez_F_11122;phasez_F_12121;phasez_F_13210;phasez_F_14397;phasez_F_15690;phasez_F_17100;phasez_F_18636;phasez_F_20310;phasez_F_22135;phasez_F_24124;phasez_F_26291;phasez_F_28653;phasez_F_31227;phasez_F_34033;phasez_F_37090;phasez_F_40423;phasez_F_44054;phasez_F_48012;phasez_F_52325;phasez_F_57026;phasez_F_62150;phasez_F_67733;phasez_F_73819;phasez_F_80451;phasez_F_87679;phasez_F_95556;phasez_F_104141;phasez_F_113497;phasez_F_123693;phasez_F_134806;phasez_F_146917;phasez_F_160117;phasez_F_174502;phasez_F_190179;phasez_F_207265;phasez_F_225886;phasez_F_246180;phasez_F_268298;phasez_F_292402;phasez_F_318672;phasez_F_347302;phasez_F_378504;phasez_F_412509;phasez_F_449569;phasez_F_489959;phasez_F_533978;phasez_F_581951;phasez_F_634235;phasez_F_691215;phasez_F_753315;phasez_F_820994;phasez_F_894753;phasez_F_975139;phasez_F_1062747;phasez_F_1158226;phasez_F_1262283;phasez_F_1375688;phasez_F_1499282;phasez_F_1633980;phasez_F_1780779;phasez_F_1940767;phasez_F_2115128;phasez_F_2305154;phasez_F_2512253;phasez_F_2737957;phasez_F_2983939;phasez_F_3252021;phasez_F_3544187;phasez_F_3862602;phasez_F_4209624;phasez_F_4587823;phasez_F_5000000
I1_C0_T1;1,00;1,00;0,00;1,00;0,50;0,25;0,34;29861880,00;26342040,00;27902100,00;25978220,00;21553040,00;20934960,00;18332540,00;16695300,00;14722040,00;13713760,00;12636540,00;11956600,00;10717840,00;9994528,00;9198604,00;8493528,00;7722990,00;7203600,00;6663844,00;6096174,00;5670038,00;5236262,00;4774134,00;4457284,00;4102860,00;3745616,00;3479714,00;3200710,00;2951110,00;2734408,00;2504612,00;2311316,00;2120638,00;1953836,00;1804604,00;1662066,00;1526934,00;1412778,00;1295060,00;1193902,00;1097392,00;1009492,00;929701,00;855445,00;786786,00;723183,00;666404,00;613825,00;564294,00;519437,00;477475,00;438854,00;403829,00;371541,00;341436,00;314355,00;289035,00;265666,00;244325,00;224655,00;206581,00;190151,00;174821,00;160660,00;147742,00;135860,00;124897,00;114802,00;105567,00;97018,00;89269,00;82007,00;75406,00;69314,00;63670,00;58544,00;53750,00;49407,00;45395,00;41713,00;38307,00;35186,00;32310,00;29668,00;27230,00;24990,00;22926,00;21026,00;19275,00;17660,00;16169,00;14784,00;13490,00;12300,00;11210,00;10206,00;9277,00;8413,00;7609,00;6859,00;-67,55;-77,90;-74,67;-74,78;-77,02;-76,44;-77,86;-77,03;-76,96;-78,28;-78,58;-80,22;-79,24;-79,77;-80,81;-81,02;-82,09;-82,27;-82,05;-82,30;-82,53;-82,90;-83,02;-83,71;-83,44;-83,69;-84,04;-84,00;-84,47;-84,68;-85,06;-84,99;-85,33;-85,24;-85,42;-85,73;-85,68;-85,85;-85,86;-85,96;-86,08;-86,14;-86,18;-86,30;-86,39;-86,50;-86,49;-86,55;-86,43;-86,58;-86,60;-86,66;-86,64;-86,61;-86,67;-86,65;-86,60;-86,62;-86,54;-86,57;-86,54;-86,43;-86,40;-86,32;-86,23;-86,14;-86,03;-85,91;-85,77;-85,62;-85,46;-85,27;-85,08;-84,84;-84,56;-84,36;-84,02;-83,69;-83,31;-82,87;-82,44;-81,94;-81,41;-80,82;-80,19;-79,49;-78,71;-77,88;-76,96;-75,96;-74,88;-73,72;-72,41;-70,87;-69,16;-67,32;-65,28;-63,04;-60,51;-57,68
I1_C0_T10;1,00;1,00;0,00;10,00;0,50;2,50;2,35;21994040,00;19668020,00;18980320,00;16329420,00;15319600,00;14480780,00;13684840,00;11950220,00;11359120,00;10241612,00;9507240,00;8787322,00;8149998,00;7586712,00;6893122,00;6456610,00;5931938,00;5452222,00;5061450,00;4691778,00;4328426,00;3984546,00;3680674,00;3406206,00;3141922,00;2892548,00;2661778,00;2455428,00;2260442,00;2092100,00;1905700,00;1772014,00;1635326,00;1505314,00;1382662,00;1276404,00;1175570,00;1082474,00;997328,00;916167,00;844360,00;778691,00;715980,00;658756,00;606566,00;558182,00;515047,00;472873,00;434867,00;400235,00;368568,00;338866,00;311718,00;286718,00;264124,00;242705,00;223216,00;205378,00;189032,00;173534,00;159748,00;146976,00;135250,00;124299,00;114338,00;105136,00;96720,00;88926,00;81797,00;75194,00;69168,00;63598,00;58504,00;53784,00;49466,00;45453,00;41776,00;38386,00;35277,00;32431,00;29804,00;27380,00;25155,00;23101,00;21213,00;19469,00;17865,00;16387,00;15024,00;13766,00;12605,00;11527,00;10520,00;9591,00;8741,00;7954,00;7225,00;6548,00;5918,00;5327,00;-65,07;-75,39;-73,37;-73,98;-73,36;-76,73;-77,08;-76,86;-77,89;-77,31;-79,26;-77,83;-79,39;-79,44;-80,41;-81,20;-80,60;-81,31;-81,96;-81,59;-82,17;-82,37;-82,94;-82,97;-83,11;-83,65;-83,61;-83,65;-84,26;-83,98;-84,51;-84,62;-84,62;-84,81;-85,10;-85,12;-85,22;-85,23;-85,56;-85,59;-85,73;-85,75;-85,77;-85,87;-85,95;-86,09;-86,24;-86,26;-86,22;-86,29;-86,29;-86,33;-86,30;-86,35;-86,38;-86,37;-86,39;-86,32;-86,30;-86,28;-86,22;-86,16;-86,05;-86,01;-85,96;-85,84;-85,74;-85,61;-85,47;-85,32;-85,15;-84,97;-84,73;-84,52;-84,28;-84,01;-83,70;-83,34;-82,96;-82,59;-82,14;-81,66;-81,13;-80,56;-79,93;-79,24;-78,47;-77,64;-76,74;-75,76;-74,68;-73,53;-72,23;-70,71;-69,04;-67,22;-65,21;-62,98;-60,48;-57,68
I1_C0_T11;1,00;1,00;0,00;11,00;0,50;2,75;2,56;21055060,00;19771860,00;18441100,00;16858920,00;14844460,00;14322360,00;13824660,00;12171060,00;11185240,00;10416880,00;9474526,00;8889218,00;8167486,00;7432434,00;6924226,00;6447228,00;5939636,00;5526068,00;5100036,00;4742772,00;4364158,00;4038666,00;3721974,00;3428194,00;3151618,00;2919098,00;2694286,00;2481802,00;2283952,00;2097638,00;1942904,00;1790922,00;1649240,00;1519640,00;1400822,00;1288908,00;1186962,00;1096046,00;1006828,00;928123,00;854366,00;785438,00;723016,00;665919,00;613608,00;564114,00;519636,00;478108,00;440302,00;404835,00;372894,00;342548,00;315366,00;289898,00;266801,00;245325,00;225803,00;207688,00;190915,00;175720,00;161611,00;148582,00;136654,00;125706,00;115581,00;106306,00;97732,00;89862,00;82657,00;75998,00;69879,00;64245,00;59056,00;54299,00;49925,00;45897,00;42153,00;38752,00;35603,00;32721,00;30051,00;27603,00;25354,00;23280,00;21374,00;19611,00;17994,00;16501,00;15127,00;13857,00;12685,00;11599,00;10583,00;9649,00;8791,00;7998,00;7264,00;6581,00;5945,00;5355,00;-74,53;-72,79;-75,81;-73,62;-76,87;-76,32;-76,21;-78,38;-77,93;-78,48;-78,64;-79,98;-79,24;-80,19;-80,09;-80,29;-80,15;-80,63;-81,53;-82,09;-82,04;-82,11;-82,84;-82,98;-83,16;-83,26;-83,24;-83,61;-83,76;-83,99;-84,29;-84,52;-84,56;-84,78;-84,90;-84,90;-85,10;-85,30;-85,39;-85,49;-85,61;-85,76;-85,76;-85,82;-86,01;-86,08;-86,17;-86,14;-86,20;-86,24;-86,31;-86,32;-86,38;-86,35;-86,38;-86,39;-86,31;-86,31;-86,33;-86,33;-86,28;-86,21;-86,16;-86,11;-86,04;-85,92;-85,83;-85,71;-85,58;-85,40;-85,25;-85,08;-84,88;-84,65;-84,43;-84,19;-83,87;-83,53;-83,12;-82,76;-82,31;-81,82;-81,30;-80,71;-80,08;-79,39;-78,63;-77,80;-76,89;-75,91;-74,83;-73,66;-72,37;-70,85;-69,17;-67,36;-65,34;-63,11;-60,60;-57,80
I1_C0_T12;1,00;1,00;0,00;12,00;0,50;3,00;2,84;20372560,00;20021260,00;18570440,00;16854740,00;14844120,00;14428060,00;13085180,00;11776320,00;11046660,00;10273730,00;9525472,00;8831152,00;8123464,00;7492324,00;6864342,00;6347736,00;5885680,00;5453926,00;5032074,00;4657286,00;4295178,00;3966276,00;3671802,00;3373926,00;3113284,00;2864720,00;2640958,00;2441348,00;2245892,00;2075150,00;1902886,00;1755742,00;1621576,00;1497424,00;1377054,00;1267248,00;1167218,00;1074514,00;991420,00;913129,00;839707,00;773096,00;711818,00;655256,00;602613,00;555143,00;510751,00;470501,00;432462,00;398445,00;366502,00;337007,00;309904,00;285076,00;262409,00;241256,00;221728,00;204289,00;187684,00;172540,00;158846,00;146125,00;134415,00;123545,00;113604,00;104458,00;96073,00;88320,00;81209,00;74677,00;68634,00;63115,00;58012,00;53352,00;49058,00;45077,00;41388,00;38048,00;34965,00;32120,00;29514,00;27111,00;24897,00;22865,00;20987,00;19259,00;17668,00;16202,00;14851,00;13604,00;12454,00;11386,00;10390,00;9468,00;8628,00;7850,00;7130,00;6459,00;5835,00;5253,00;-69,66;-76,79;-74,88;-73,98;-75,11;-77,25;-76,87;-77,69;-77,83;-77,50;-78,65;-79,68;-78,72;-80,24;-79,82;-80,08;-80,68;-80,76;-81,22;-81,62;-81,95;-82,34;-82,59;-82,63;-82,97;-83,13;-83,42;-83,80;-84,05;-84,36;-84,24;-84,49;-84,55;-84,69;-84,77;-84,98;-85,11;-85,29;-85,46;-85,47;-85,57;-85,74;-85,87;-85,88;-86,01;-86,03;-86,14;-86,17;-86,21;-86,31;-86,35;-86,33;-86,37;-86,39;-86,40;-86,43;-86,33;-86,41;-86,36;-86,32;-86,34;-86,27;-86,19;-86,11;-86,07;-85,97;-85,87;-85,74;-85,62;-85,48;-85,31;-85,13;-84,89;-84,71;-84,47;-84,21;-83,89;-83,52;-83,17;-82,78;-82,34;-81,85;-81,32;-80,74;-80,11;-79,42;-78,66;-77,84;-76,93;-75,94;-74,87;-73,69;-72,40;-70,88;-69,21;-67,37;-65,37;-63,14;-60,67;-57,83
I1_C0_T2;1,00;1,00;0,00;2,00;0,50;0,50;0,56;28020700,00;27911240,00;24964660,00;20461680,00;19947240,00;18716380,00;17556120,00;15563780,00;14506200,00;12940720,00;11838780,00;11050200,00;10249040,00;9545408,00;8706816,00;8053020,00;7437608,00;7034366,00;6381450,00;5901324,00;5317980,00;4957124,00;4582372,00;4219138,00;3932774,00;3619822,00;3329444,00;3047504,00;2804590,00;2592254,00;2387206,00;2201018,00;2024192,00;1865226,00;1720028,00;1583106,00;1454610,00;1341722,00;1234294,00;1136200,00;1045118,00;961155,00;885312,00;815405,00;748606,00;690382,00;634941,00;583682,00;536662,00;494338,00;454685,00;417677,00;384401,00;353635,00;324669,00;298530,00;274699,00;253060,00;232346,00;213680,00;196464,00;180627,00;165955,00;152581,00;140354,00;129049,00;118616,00;109095,00;100293,00;92171,00;84735,00;77858,00;71563,00;65797,00;60484,00;55563,00;51008,00;46851,00;43064,00;39568,00;36348,00;33378,00;30655,00;28141,00;25830,00;23702,00;21741,00;19936,00;18274,00;16740,00;15327,00;14011,00;12783,00;11653,00;10620,00;9666,00;8784,00;7964,00;7199,00;6490,00;-72,36;-69,64;-75,22;-75,09;-77,41;-75,27;-77,65;-77,40;-78,13;-78,64;-80,37;-79,68;-81,26;-80,41;-81,33;-82,04;-81,86;-82,53;-81,32;-82,42;-82,85;-83,17;-83,13;-83,74;-83,92;-84,08;-84,35;-84,03;-84,47;-84,72;-84,68;-85,19;-85,04;-85,32;-85,77;-85,67;-85,71;-85,82;-85,93;-86,11;-86,11;-86,20;-86,26;-86,35;-86,32;-86,54;-86,49;-86,59;-86,65;-86,67;-86,67;-86,68;-86,69;-86,73;-86,68;-86,67;-86,71;-86,71;-86,68;-86,65;-86,59;-86,53;-86,49;-86,40;-86,33;-86,28;-86,11;-86,00;-85,86;-85,72;-85,54;-85,34;-85,15;-84,92;-84,65;-84,44;-84,11;-83,76;-83,37;-82,98;-82,52;-82,02;-81,50;-80,91;-80,27;-79,56;-78,80;-77,96;-77,04;-76,05;-74,96;-73,79;-72,49;-70,95;-69,24;-67,40;-65,36;-63,12;-60,60;-57,77
I1_C0_T3;1,00;1,00;0,00;3,00;0,50;0,75;0,78;24366120,00;23754800,00;21705900,00;22111320,00;19872680,00;17826280,00;17625020,00;15320340,00;13152080,00;12128920,00;11325580,00;10617680,00;9883996,00;8816200,00;8330660,00;7641244,00;6971654,00;6542958,00;6015356,00;5639924,00;5132658,00;4707748,00;4397572,00;4042976,00;3716560,00;3435604,00;3162874,00;2904974,00;2690692,00;2475166,00;2270346,00;2098574,00;1931946,00;1781988,00;1641822,00;1510092,00;1391760,00;1281018,00;1179742,00;1084288,00;1000555,00;920281,00;845513,00;777699,00;716094,00;660133,00;605845,00;559306,00;514045,00;472528,00;435523,00;400220,00;367760,00;338632,00;312120,00;286356,00;263282,00;242324,00;222794,00;204663,00;188465,00;173248,00;159384,00;146452,00;134718,00;123921,00;113932,00;104755,00;96268,00;88539,00;81396,00;74848,00;68777,00;63234,00;58097,00;53396,00;49071,00;45041,00;41416,00;38059,00;34956,00;32105,00;29485,00;27074,00;24850,00;22808,00;20923,00;19188,00;17587,00;16112,00;14751,00;13489,00;12308,00;11219,00;10226,00;9308,00;8458,00;7666,00;6933,00;6247,00;-64,35;-73,41;-73,61;-74,58;-77,80;-77,32;-77,70;-76,90;-77,60;-78,23;-79,73;-79,51;-79,74;-79,88;-79,78;-80,63;-80,83;-82,04;-82,45;-81,95;-82,68;-83,09;-82,93;-83,26;-83,62;-83,83;-83,98;-84,46;-84,27;-84,36;-84,62;-84,91;-85,01;-85,14;-85,30;-85,49;-85,47;-85,74;-85,82;-85,86;-85,83;-86,03;-86,05;-86,21;-86,22;-86,32;-86,68;-86,41;-86,44;-86,46;-86,49;-86,52;-86,53;-86,54;-86,57;-86,59;-86,56;-86,49;-86,53;-86,41;-86,46;-86,37;-86,36;-86,28;-86,18;-86,09;-85,98;-85,85;-85,72;-85,58;-85,39;-85,22;-85,02;-84,79;-84,56;-84,29;-83,99;-83,60;-83,25;-82,85;-82,39;-81,91;-81,37;-80,78;-80,14;-79,45;-78,68;-77,84;-76,93;-75,94;-74,86;-73,68;-72,38;-70,83;-69,15;-67,30;-65,26;-63,01;-60,49;-57,67
I1_C0_T4;1,00;1,00;0,00;4,00;0,50;1,00;0,99;25346980,00;23035340,00;23360040,00;20533360,00;17813400,00;17447980,00;15640820,00;14625900,00;13144920,00;11930560,00;11020060,00;10391270,00;9468760,00;8394148,00;7951362,00;7371942,00;6819222,00;6271836,00;5818724,00;5378010,00;4935720,00;4533244,00;4194318,00;3853714,00;3586260,00;3274338,00;3035058,00;2793602,00;2568176,00;2371490,00;2186226,00;2015662,00;1857800,00;1705206,00;1576930,00;1446652,00;1334470,00;1226660,00;1133594,00;1041464,00;958329,00;882691,00;811527,00;747387,00;688517,00;632452,00;581702,00;535232,00;491881,00;453336,00;416969,00;383516,00;352656,00;324311,00;298147,00;274469,00;252139,00;232013,00;213230,00;196260,00;180417,00;165950,00;152619,00;140257,00;128971,00;118560,00;109035,00;100236,00;92149,00;84722,00;77889,00;71592,00;65785,00;60493,00;55616,00;51088,00;46923,00;43163,00;39644,00;36413,00;33437,00;30720,00;28210,00;25905,00;23777,00;21825,00;20016,00;18357,00;16827,00;15415,00;14114,00;12903,00;11775,00;10734,00;9782,00;8905,00;8089,00;7333,00;6627,00;5972,00;-75,07;-73,82;-74,23;-71,66;-77,62;-76,37;-77,77;-78,92;-79,03;-79,76;-78,00;-79,69;-80,05;-80,43;-80,73;-80,49;-82,08;-81,99;-81,91;-82,04;-82,89;-82,90;-83,18;-83,42;-83,57;-83,59;-84,15;-84,21;-84,53;-84,75;-84,71;-84,59;-84,97;-85,00;-85,29;-85,51;-85,53;-85,72;-85,73;-85,81;-85,95;-86,08;-86,12;-86,11;-86,32;-86,34;-86,43;-86,42;-86,46;-86,59;-86,56;-86,61;-86,61;-86,62;-86,65;-86,62;-86,70;-86,64;-86,58;-86,52;-86,50;-86,47;-86,40;-86,34;-86,22;-86,14;-86,02;-85,88;-85,76;-85,60;-85,42;-85,24;-85,07;-84,81;-84,55;-84,31;-83,98;-83,64;-83,27;-82,86;-82,39;-81,90;-81,37;-80,79;-80,14;-79,44;-78,67;-77,82;-76,91;-75,91;-74,83;-73,65;-72,35;-70,81;-69,12;-67,28;-65,24;-63,00;-60,49;-57,67
I1_C0_T5;1,00;1,00;0,00;5,00;0,50;1,25;1,23;25039900,00;25148300,00;22794960,00;22485340,00;17494520,00;15940020,00;14666660,00;13561700,00;12612360,00;11645700,00;10407542,00;9983972,00;8945386,00;8384940,00;7737646,00;7188768,00;6556714,00;6130080,00;5587296,00;5160630,00;4796738,00;4435740,00;4068252,00;3764846,00;3471962,00;3192402,00;2950904,00;2721194,00;2501164,00;2307712,00;2130194,00;1954120,00;1802278,00;1660186,00;1532934,00;1406608,00;1296690,00;1196624,00;1099924,00;1012846,00;933525,00;858585,00;790349,00;727723,00;669059,00;616247,00;565040,00;521812,00;479782,00;441793,00;406416,00;374425,00;343820,00;316368,00;291227,00;267915,00;246061,00;226313,00;208207,00;191619,00;176132,00;161966,00;148932,00;137046,00;125956,00;115816,00;106466,00;97900,00;90031,00;82759,00;76097,00;69969,00;64296,00;59114,00;54375,00;49944,00;45879,00;42136,00;38744,00;35598,00;32697,00;30036,00;27583,00;25326,00;23252,00;21333,00;19573,00;17950,00;16454,00;15073,00;13799,00;12617,00;11513,00;10496,00;9563,00;8705,00;7906,00;7166,00;6475,00;5835,00;-71,09;-74,44;-73,00;-73,05;-78,10;-75,29;-77,30;-78,29;-78,15;-79,24;-78,31;-79,46;-80,23;-80,09;-81,04;-80,90;-81,57;-81,48;-82,06;-82,51;-82,67;-83,01;-82,56;-83,14;-83,61;-83,66;-83,72;-84,26;-84,29;-84,48;-84,63;-84,80;-84,80;-85,05;-85,13;-85,10;-85,38;-85,54;-85,66;-85,72;-85,93;-85,86;-86,01;-86,00;-86,11;-86,18;-86,26;-86,36;-86,32;-86,40;-86,46;-86,43;-86,48;-86,49;-86,48;-86,50;-86,53;-86,51;-86,40;-86,49;-86,38;-86,35;-86,25;-86,20;-86,12;-86,04;-85,92;-85,82;-85,68;-85,55;-85,36;-85,15;-84,97;-84,74;-84,50;-84,24;-83,96;-83,55;-83,20;-82,81;-82,36;-81,87;-81,34;-80,76;-80,12;-79,44;-78,66;-77,82;-76,92;-75,92;-74,84;-73,68;-72,37;-70,85;-69,14;-67,31;-65,29;-63,06;-60,54;-57,75
I1_C0_T6;1,00;1,00;0,00;6,00;0,50;1,50;1,47;23599840,00;22456520,00;20313920,00;18225220,00;16563380,00;15309960,00;15548120,00;13323980,00;12157220,00;11315980,00;10400140,00;9365128,00;8810050,00;8033104,00;7543392,00;7022198,00;6426930,00;5922990,00;5490726,00;5073548,00;4695170,00;4329144,00;3978136,00;3684596,00;3377806,00;3129370,00;2880326,00;2671100,00;2454024,00;2257636,00;2085328,00;1916536,00;1764538,00;1623244,00;1496232,00;1380674,00;1270856,00;1168722,00;1078716,00;992168,00;913484,00;839710,00;773531,00;711960,00;655408,00;602739,00;555595,00;510223,00;469607,00;432140,00;397644,00;365718,00;336743,00;309567,00;284862,00;261998,00;241245,00;221430,00;203804,00;187264,00;172264,00;158485,00;145763,00;133991,00;123211,00;113305,00;104179,00;95793,00;88063,00;80976,00;74460,00;68445,00;62911,00;57831,00;53157,00;48845,00;44847,00;41220,00;37888,00;34825,00;31988,00;29377,00;26977,00;24776,00;22739,00;20864,00;19143,00;17554,00;16091,00;14741,00;13495,00;12337,00;11257,00;10260,00;9349,00;8508,00;7728,00;7003,00;6329,00;5704,00;-72,04;-73,81;-73,55;-77,03;-75,94;-75,62;-75,94;-77,65;-77,41;-79,06;-79,08;-79,43;-79,01;-80,43;-80,83;-80,73;-81,15;-81,61;-81,74;-82,32;-82,04;-83,34;-83,00;-83,25;-83,32;-83,44;-83,63;-83,97;-84,27;-84,30;-84,75;-84,52;-84,68;-84,90;-85,10;-85,25;-85,47;-85,37;-85,61;-85,68;-85,84;-85,92;-85,97;-86,00;-86,16;-86,18;-86,30;-86,29;-86,37;-86,41;-86,45;-86,41;-86,47;-86,50;-86,48;-86,52;-86,53;-86,52;-86,50;-86,41;-86,43;-86,34;-86,23;-86,23;-86,13;-86,04;-85,95;-85,81;-85,69;-85,55;-85,37;-85,18;-84,97;-84,76;-84,52;-84,27;-83,99;-83,64;-83,24;-82,82;-82,38;-81,89;-81,36;-80,78;-80,15;-79,46;-78,69;-77,85;-76,95;-75,96;-74,88;-73,71;-72,41;-70,88;-69,20;-67,36;-65,33;-63,09;-60,58;-57,77
I1_C0_T7;1,00;1,00;0,00;7,00;0,50;1,75;1,67;23146040,00;20725140,00;19536440,00;19397660,00;16803760,00;15765100,00;14186240,00;12901560,00;12011060,00;10661800,00;10049532,00;9276254,00;8626858,00;7840600,00;7329858,00;6715330,00;6205300,00;5794646,00;5352302,00;4960194,00;4564524,00;4186424,00;3889104,00;3588414,00;3299378,00;3034036,00;2791866,00;2588420,00;2383594,00;2188620,00;2019252,00;1863224,00;1714382,00;1578978,00;1451496,00;1340292,00;1236056,00;1139654,00;1051380,00;965492,00;887811,00;817375,00;752395,00;693590,00;637460,00;586110,00;539835,00;496306,00;457592,00;420765,00;386881,00;355522,00;327510,00;300986,00;276890,00;254897,00;234133,00;215461,00;198268,00;182322,00;167666,00;154184,00;141741,00;130365,00;119873,00;110238,00;101372,00;93220,00;85701,00;78781,00;72416,00;66619,00;61249,00;56296,00;51743,00;47515,00;43673,00;40110,00;36873,00;33879,00;31133,00;28596,00;26263,00;24117,00;22135,00;20310,00;18633,00;17086,00;15662,00;14347,00;13134,00;12009,00;10957,00;9987,00;9099,00;8282,00;7521,00;6814,00;6157,00;5545,00;-68,69;-71,51;-73,92;-75,69;-77,82;-76,97;-77,03;-76,85;-78,15;-78,58;-77,72;-79,48;-79,98;-80,06;-80,76;-81,47;-81,01;-81,56;-81,75;-82,76;-82,67;-82,47;-82,99;-82,92;-83,63;-83,51;-83,57;-83,74;-84,01;-84,25;-84,56;-84,63;-84,90;-84,91;-84,88;-85,33;-85,23;-85,52;-85,28;-85,76;-85,82;-85,90;-85,94;-86,06;-86,12;-86,11;-86,16;-86,29;-86,31;-86,40;-86,49;-86,47;-86,50;-86,48;-86,49;-86,51;-86,54;-86,47;-86,42;-86,44;-86,39;-86,33;-86,25;-86,21;-86,12;-86,03;-85,93;-85,80;-85,67;-85,51;-85,34;-85,16;-84,95;-84,74;-84,51;-84,21;-83,93;-83,57;-83,21;-82,80;-82,38;-81,89;-81,36;-80,79;-80,15;-79,46;-78,69;-77,86;-76,96;-75,96;-74,89;-73,72;-72,42;-70,90;-69,23;-67,38;-65,37;-63,11;-60,65;-57,83
